Infinitive,поруча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поруча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поруча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поруча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поруча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поруча́юсь
2nd Sing,поруча́ешься
3rd Sing,поруча́ется
1st Pl,поруча́емся
2nd Pl,поруча́етесь
3rd Pl,поруча́ются
Past M,поруча́лся
Past F,поруча́лась
Past N,поруча́лось
Past PL,поруча́лись
Imp S,поруча́йся
Imp PL,поруча́йтесь
