Infinitive,посма́тривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посма́тривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,посма́тривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посма́тривая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,посма́тривав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,посма́тривавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,посма́триваю
2nd Sing,посма́триваешь
3rd Sing,посма́тривает
1st Pl,посма́триваем
2nd Pl,посма́триваете
3rd Pl,посма́тривают
Past M,посма́тривал
Past F,посма́тривала
Past N,посма́тривало
Past PL,посма́тривали
Imp S,посма́тривай
Imp PL,посма́тривайте
