Infinitive,почти́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почтённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,почти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,почти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,почту́
2nd Sing,почти́шь
3rd Sing,почти́т
1st Pl,почти́м
2nd Pl,почти́те
3rd Pl,почтя́т
Past M,почти́л
Past F,почти́ла
Past N,почти́ло
Past PL,почти́ли
Imp S,почти́
Imp PL,почти́те
