Infinitive,посветле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посветле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посветле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посветле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посветле́ю
2nd Sing,посветле́ешь
3rd Sing,посветле́ет
1st Pl,посветле́ем
2nd Pl,посветле́ете
3rd Pl,посветле́ют
Past M,посветле́л
Past F,посветле́ла
Past N,посветле́ло
Past PL,посветле́ли
Imp S,посветле́й
Imp PL,посветле́йте
