Infinitive,поторопи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поторопи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поторо́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поторопи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поторопи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потороплю́
2nd Sing,поторо́пишь
3rd Sing,поторо́пит
1st Pl,поторо́пим
2nd Pl,поторо́пите
3rd Pl,поторо́пят
Past M,поторопи́л
Past F,поторопи́ла
Past N,поторопи́ло
Past PL,поторопи́ли
Imp S,поторопи́
Imp PL,поторопи́те
