Infinitive,пони́кнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пони́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,пони́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пони́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пони́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пони́кну
2nd Sing,пони́кнешь
3rd Sing,пони́кнет
1st Pl,пони́кнем
2nd Pl,пони́кнете
3rd Pl,пони́кнут
Past M,пони́к
Past F,пони́кла
Past N,пони́кло
Past PL,пони́кли
Imp S,пони́кни
Imp PL,пони́кните
