Infinitive,поверну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поверну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поверну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поверну́сь
2nd Sing,повернёшься
3rd Sing,повернётся
1st Pl,повернёмся
2nd Pl,повернётесь
3rd Pl,поверну́тся
Past M,поверну́лся
Past F,поверну́лась
Past N,поверну́лось
Past PL,поверну́лись
Imp S,поверни́сь
Imp PL,поверни́тесь
