Infinitive,подсы́пать
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсы́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсы́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсы́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подсы́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подсы́плю
2nd Sing,подсы́плешь
3rd Sing,подсы́плет
1st Pl,подсы́плем
2nd Pl,подсы́плете
3rd Pl,подсы́плют
Past M,подсы́пал
Past F,подсы́пала
Past N,подсы́пало
Past PL,подсы́пали
Imp S,подсы́пь
Imp PL,подсы́пьте
