Infinitive,помно́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,помно́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помно́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помно́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,помно́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,помно́жу
2nd Sing,помно́жишь
3rd Sing,помно́жит
1st Pl,помно́жим
2nd Pl,помно́жите
3rd Pl,помно́жат
Past M,помно́жил
Past F,помно́жила
Past N,помно́жило
Past PL,помно́жили
Imp S,помно́жь
Imp PL,помно́жьте
