Infinitive,поста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поста́влю
2nd Sing,поста́вишь
3rd Sing,поста́вит
1st Pl,поста́вим
2nd Pl,поста́вите
3rd Pl,поста́вят
Past M,поста́вил
Past F,поста́вила
Past N,поста́вило
Past PL,поста́вили
Imp S,поста́вь
Imp PL,поста́вьте
