Infinitive,погляде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погляде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погляде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,погляде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,погляжу́
2nd Sing,погляди́шь
3rd Sing,погляди́т
1st Pl,погляди́м
2nd Pl,погляди́те
3rd Pl,поглядя́т
Past M,погляде́л
Past F,погляде́ла
Past N,погляде́ло
Past PL,погляде́ли
Imp S,погляди́
Imp PL,погляди́те
