Infinitive,полета́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полета́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полета́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,полета́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,полета́ю
2nd Sing,полета́ешь
3rd Sing,полета́ет
1st Pl,полета́ем
2nd Pl,полета́ете
3rd Pl,полета́ют
Past M,полета́л
Past F,полета́ла
Past N,полета́ло
Past PL,полета́ли
Imp S,полета́й
Imp PL,полета́йте
