Infinitive,погля́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погля́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,погля́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погля́дывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,погля́дывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,погля́дывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,погля́дываю
2nd Sing,погля́дываешь
3rd Sing,погля́дывает
1st Pl,погля́дываем
2nd Pl,погля́дываете
3rd Pl,погля́дывают
Past M,погля́дывал
Past F,погля́дывала
Past N,погля́дывало
Past PL,погля́дывали
Imp S,погля́дывай
Imp PL,погля́дывайте
