Infinitive,помыка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помыка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,помыка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помыка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,помыка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,помыка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,помыка́ю
2nd Sing,помыка́ешь
3rd Sing,помыка́ет
1st Pl,помыка́ем
2nd Pl,помыка́ете
3rd Pl,помыка́ют
Past M,помыка́л
Past F,помыка́ла
Past N,помыка́ло
Past PL,помыка́ли
Imp S,помыка́й
Imp PL,помыка́йте
