Infinitive,позаи́мствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,позаи́мствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позаи́мствованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,позаи́мствовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,позаи́мствовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,позаи́мствую
2nd Sing,позаи́мствуешь
3rd Sing,позаи́мствует
1st Pl,позаи́мствуем
2nd Pl,позаи́мствуете
3rd Pl,позаи́мствуют
Past M,позаи́мствовал
Past F,позаи́мствовала
Past N,позаи́мствовало
Past PL,позаи́мствовали
Imp S,позаи́мствуй
Imp PL,позаи́мствуйте
