Infinitive,потре́скаться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,потре́скавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потре́скавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потре́скаюсь
2nd Sing,потре́скаешься
3rd Sing,потре́скается
1st Pl,потре́скаемся
2nd Pl,потре́скаетесь
3rd Pl,потре́скаются
Past M,потре́скался
Past F,потре́скалась
Past N,потре́скалось
Past PL,потре́скались
Imp S,потре́скайся
Imp PL,потре́скайтесь
