Infinitive,попо́ртить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попо́ртивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попо́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попо́ртив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попо́ртивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попо́рчу
2nd Sing,попо́ртишь
3rd Sing,попо́ртит
1st Pl,попо́ртим
2nd Pl,попо́ртите
3rd Pl,попо́ртят
Past M,попо́ртил
Past F,попо́ртила
Past N,попо́ртило
Past PL,попо́ртили
Imp S,попо́рти
Imp PL,попо́ртите
