Infinitive,подстегну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подстегну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подстёгнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подстегну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подстегну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подстегну́
2nd Sing,подстегнёшь
3rd Sing,подстегнёт
1st Pl,подстегнём
2nd Pl,подстегнёте
3rd Pl,подстегну́т
Past M,подстегну́л
Past F,подстегну́ла
Past N,подстегну́ло
Past PL,подстегну́ли
Imp S,подстегни́
Imp PL,подстегни́те
