Infinitive,повози́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повози́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повози́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,повожу́сь
2nd Sing,пово́зишься
3rd Sing,пово́зится
1st Pl,пово́зимся
2nd Pl,пово́зитесь
3rd Pl,пово́зятся
Past M,повози́лся
Past F,повози́лась
Past N,повози́лось
Past PL,повози́лись
Imp S,повози́сь
Imp PL,повози́тесь
