Infinitive,поболта́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поболта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побо́лтанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поболта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поболта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поболта́ю
2nd Sing,поболта́ешь
3rd Sing,поболта́ет
1st Pl,поболта́ем
2nd Pl,поболта́ете
3rd Pl,поболта́ют
Past M,поболта́л
Past F,поболта́ла
Past N,поболта́ло
Past PL,поболта́ли
Imp S,поболта́й
Imp PL,поболта́йте
