Infinitive,подыша́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подыша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подыша́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подыша́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подышу́
2nd Sing,поды́шишь
3rd Sing,поды́шит
1st Pl,поды́шим
2nd Pl,поды́шите
3rd Pl,поды́шат
Past M,подыша́л
Past F,подыша́ла
Past N,подыша́ло
Past PL,подыша́ли
Imp S,подыши́
Imp PL,подыши́те
