Infinitive,подожда́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подожда́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подожда́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подожда́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подожду́
2nd Sing,подождёшь
3rd Sing,подождёт
1st Pl,подождём
2nd Pl,подождёте
3rd Pl,подожду́т
Past M,подожда́л
Past F,подождала́
Past N,подожда́ло
Past PL,подожда́ли
Imp S,подожди́
Imp PL,подожди́те
