Infinitive,пола́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пола́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пола́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пола́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пола́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пола́жу
2nd Sing,пола́дишь
3rd Sing,пола́дит
1st Pl,пола́дим
2nd Pl,пола́дите
3rd Pl,пола́дят
Past M,пола́дил
Past F,пола́дила
Past N,пола́дило
Past PL,пола́дили
Imp S,пола́дь
Imp PL,пола́дьте
