Infinitive,почерне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,почерне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почерне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,почерне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,почерне́ю
2nd Sing,почерне́ешь
3rd Sing,почерне́ет
1st Pl,почерне́ем
2nd Pl,почерне́ете
3rd Pl,почерне́ют
Past M,почерне́л
Past F,почерне́ла
Past N,почерне́ло
Past PL,почерне́ли
Imp S,почерне́й
Imp PL,почерне́йте
