Infinitive,поуба́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поуба́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поуба́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поуба́влюсь
2nd Sing,поуба́вишься
3rd Sing,поуба́вится
1st Pl,поуба́вимся
2nd Pl,поуба́витесь
3rd Pl,поуба́вятся
Past M,поуба́вился
Past F,поуба́вилась
Past N,поуба́вилось
Past PL,поуба́вились
Imp S,поуба́вься
Imp PL,поуба́вьтесь
