Infinitive,подпры́гивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подпры́гивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпры́гивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпры́гивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подпры́гивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подпры́гивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подпры́гиваю
2nd Sing,подпры́гиваешь
3rd Sing,подпры́гивает
1st Pl,подпры́гиваем
2nd Pl,подпры́гиваете
3rd Pl,подпры́гивают
Past M,подпры́гивал
Past F,подпры́гивала
Past N,подпры́гивало
Past PL,подпры́гивали
Imp S,подпры́гивай
Imp PL,подпры́гивайте
