Infinitive,попи́ть
Zaliznyak Class,11b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́питый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,попи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,попи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,попи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,попью́
2nd Sing,попьёшь
3rd Sing,попьёт
1st Pl,попьём
2nd Pl,попьёте
3rd Pl,попью́т
Past M,по́пил
Past F,попила́
Past N,по́пило
Past PL,по́пили
Imp S,попе́й
Imp PL,попе́йте
