Infinitive,покриви́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покриви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покриви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покривлю́сь
2nd Sing,покриви́шься
3rd Sing,покриви́тся
1st Pl,покриви́мся
2nd Pl,покриви́тесь
3rd Pl,покривя́тся
Past M,покриви́лся
Past F,покриви́лась
Past N,покриви́лось
Past PL,покриви́лись
Imp S,покриви́сь
Imp PL,покриви́тесь
