Infinitive,посели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поселённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поселю́
2nd Sing,посели́шь
3rd Sing,посели́т
1st Pl,посели́м
2nd Pl,посели́те
3rd Pl,поселя́т
Past M,посели́л
Past F,посели́ла
Past N,посели́ло
Past PL,посели́ли
Imp S,посели́
Imp PL,посели́те
