Infinitive,подбира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подбира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подбира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подбира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подбира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подбира́юсь
2nd Sing,подбира́ешься
3rd Sing,подбира́ется
1st Pl,подбира́емся
2nd Pl,подбира́етесь
3rd Pl,подбира́ются
Past M,подбира́лся
Past F,подбира́лась
Past N,подбира́лось
Past PL,подбира́лись
Imp S,подбира́йся
Imp PL,подбира́йтесь
