Infinitive,потре́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потре́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,потре́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потре́скивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,потре́скивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,потре́скивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,потре́скиваю
2nd Sing,потре́скиваешь
3rd Sing,потре́скивает
1st Pl,потре́скиваем
2nd Pl,потре́скиваете
3rd Pl,потре́скивают
Past M,потре́скивал
Past F,потре́скивала
Past N,потре́скивало
Past PL,потре́скивали
Imp S,потре́скивай
Imp PL,потре́скивайте
