Infinitive,поборо́ть
Zaliznyak Class,10c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поборо́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побо́ротый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поборо́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поборо́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поборю́
2nd Sing,побо́решь
3rd Sing,побо́рет
1st Pl,побо́рем
2nd Pl,побо́рете
3rd Pl,побо́рют
Past M,поборо́л
Past F,поборо́ла
Past N,поборо́ло
Past PL,поборо́ли
Imp S,побори́
Imp PL,побори́те
