Infinitive,подвезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подвёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подвезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подвезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подвёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подвезу́
2nd Sing,подвезёшь
3rd Sing,подвезёт
1st Pl,подвезём
2nd Pl,подвезёте
3rd Pl,подвезу́т
Past M,подвёз
Past F,подвезла́
Past N,подвезло́
Past PL,подвезли́
Imp S,подвези́
Imp PL,подвези́те
