Infinitive,подда́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подда́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подда́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подда́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подда́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подда́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подда́киваю
2nd Sing,подда́киваешь
3rd Sing,подда́кивает
1st Pl,подда́киваем
2nd Pl,подда́киваете
3rd Pl,подда́кивают
Past M,подда́кивал
Past F,подда́кивала
Past N,подда́кивало
Past PL,подда́кивали
Imp S,подда́кивай
Imp PL,подда́кивайте
