Infinitive,подсказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подска́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подсказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подскажу́
2nd Sing,подска́жешь
3rd Sing,подска́жет
1st Pl,подска́жем
2nd Pl,подска́жете
3rd Pl,подска́жут
Past M,подсказа́л
Past F,подсказа́ла
Past N,подсказа́ло
Past PL,подсказа́ли
Imp S,подскажи́
Imp PL,подскажи́те
