Infinitive,помолоде́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,помолоде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помолоде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,помолоде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,помолоде́ю
2nd Sing,помолоде́ешь
3rd Sing,помолоде́ет
1st Pl,помолоде́ем
2nd Pl,помолоде́ете
3rd Pl,помолоде́ют
Past M,помолоде́л
Past F,помолоде́ла
Past N,помолоде́ло
Past PL,помолоде́ли
Imp S,помолоде́й
Imp PL,помолоде́йте
