Infinitive,подмя́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подмя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подмя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подмя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подмя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подомну́
2nd Sing,подомнёшь
3rd Sing,подомнёт
1st Pl,подомнём
2nd Pl,подомнёте
3rd Pl,подомну́т
Past M,подмя́л
Past F,подмя́ла
Past N,подмя́ло
Past PL,подмя́ли
Imp S,подомни́
Imp PL,подомни́те
