Infinitive,поцелова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поцелова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поцелова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поцелу́юсь
2nd Sing,поцелу́ешься
3rd Sing,поцелу́ется
1st Pl,поцелу́емся
2nd Pl,поцелу́етесь
3rd Pl,поцелу́ются
Past M,поцелова́лся
Past F,поцелова́лась
Past N,поцелова́лось
Past PL,поцелова́лись
Imp S,поцелу́йся
Imp PL,поцелу́йтесь
