Infinitive,поту́пить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поту́пивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поту́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поту́пив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поту́пивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поту́плю
2nd Sing,поту́пишь
3rd Sing,поту́пит
1st Pl,поту́пим
2nd Pl,поту́пите
3rd Pl,поту́пят
Past M,поту́пил
Past F,поту́пила
Past N,поту́пило
Past PL,поту́пили
Imp S,поту́пь
Imp PL,поту́пьте
