Infinitive,подпи́сываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подпи́сывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпи́сывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпи́сываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подпи́сывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подпи́сываюсь
2nd Sing,подпи́сываешься
3rd Sing,подпи́сывается
1st Pl,подпи́сываемся
2nd Pl,подпи́сываетесь
3rd Pl,подпи́сываются
Past M,подпи́сывался
Past F,подпи́сывалась
Past N,подпи́сывалось
Past PL,подпи́сывались
Imp S,подпи́сывайся
Imp PL,подпи́сывайтесь
