Infinitive,подступи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подступи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подступи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подступи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подступлю́
2nd Sing,подсту́пишь
3rd Sing,подсту́пит
1st Pl,подсту́пим
2nd Pl,подсту́пите
3rd Pl,подсту́пят
Past M,подступи́л
Past F,подступи́ла
Past N,подступи́ло
Past PL,подступи́ли
Imp S,подступи́
Imp PL,подступи́те
