Infinitive,подплы́ть
Zaliznyak Class,16b/c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подплы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подплы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подплы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подплыву́
2nd Sing,подплывёшь
3rd Sing,подплывёт
1st Pl,подплывём
2nd Pl,подплывёте
3rd Pl,подплыву́т
Past M,подплы́л
Past F,подплыла́
Past N,подплы́ло
Past PL,подплы́ли
Imp S,подплыви́
Imp PL,подплыви́те
