Infinitive,подкра́дываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подкра́дывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подкра́дывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкра́дываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подкра́дывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подкра́дываюсь
2nd Sing,подкра́дываешься
3rd Sing,подкра́дывается
1st Pl,подкра́дываемся
2nd Pl,подкра́дываетесь
3rd Pl,подкра́дываются
Past M,подкра́дывался
Past F,подкра́дывалась
Past N,подкра́дывалось
Past PL,подкра́дывались
Imp S,подкра́дывайся
Imp PL,подкра́дывайтесь
