Infinitive,поторопи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поторопи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поторопи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потороплю́сь
2nd Sing,поторо́пишься
3rd Sing,поторо́пится
1st Pl,поторо́пимся
2nd Pl,поторо́питесь
3rd Pl,поторо́пятся
Past M,поторопи́лся
Past F,поторопи́лась
Past N,поторопи́лось
Past PL,поторопи́лись
Imp S,поторопи́сь
Imp PL,поторопи́тесь
