Infinitive,по́ртить
Zaliznyak Class,4a[②]
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,по́ртящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́ртивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,по́ртимый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,по́рченный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,по́ртя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,по́ртив
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,по́ртивши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,по́рчу
2nd Sing,по́ртишь
3rd Sing,по́ртит
1st Pl,по́ртим
2nd Pl,по́ртите
3rd Pl,по́ртят
Past M,по́ртил
Past F,по́ртила
Past N,по́ртило
Past PL,по́ртили
Imp S,по́рти
Imp PL,по́ртите
