Infinitive,подступи́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подступи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подступи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подступлю́сь
2nd Sing,подсту́пишься
3rd Sing,подсту́пится
1st Pl,подсту́пимся
2nd Pl,подсту́питесь
3rd Pl,подсту́пятся
Past M,подступи́лся
Past F,подступи́лась
Past N,подступи́лось
Past PL,подступи́лись
Imp S,подступи́сь
Imp PL,подступи́тесь
