Infinitive,поправля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поправля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поправля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поправля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поправля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поправля́юсь
2nd Sing,поправля́ешься
3rd Sing,поправля́ется
1st Pl,поправля́емся
2nd Pl,поправля́етесь
3rd Pl,поправля́ются
Past M,поправля́лся
Past F,поправля́лась
Past N,поправля́лось
Past PL,поправля́лись
Imp S,поправля́йся
Imp PL,поправля́йтесь
