Infinitive,покрови́тельствовать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,покрови́тельствующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,покрови́тельствовавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покрови́тельствуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,покрови́тельствуя
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,покрови́тельствовав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,покрови́тельствовавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,покрови́тельствую
2nd Sing,покрови́тельствуешь
3rd Sing,покрови́тельствует
1st Pl,покрови́тельствуем
2nd Pl,покрови́тельствуете
3rd Pl,покрови́тельствуют
Past M,покрови́тельствовал
Past F,покрови́тельствовала
Past N,покрови́тельствовало
Past PL,покрови́тельствовали
Imp S,покрови́тельствуй
Imp PL,покрови́тельствуйте
