Infinitive,побеле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побеле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побеле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побеле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побеле́ю
2nd Sing,побеле́ешь
3rd Sing,побеле́ет
1st Pl,побеле́ем
2nd Pl,побеле́ете
3rd Pl,побеле́ют
Past M,побеле́л
Past F,побеле́ла
Past N,побеле́ло
Past PL,побеле́ли
Imp S,побеле́й
Imp PL,побеле́йте
