Infinitive,подползти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подпо́лзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпо́лзши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подползу́
2nd Sing,подползёшь
3rd Sing,подползёт
1st Pl,подползём
2nd Pl,подползёте
3rd Pl,подползу́т
Past M,подпо́лз
Past F,подползла́
Past N,подползло́
Past PL,подползли́
Imp S,подползи́
Imp PL,подползи́те
