Infinitive,позави́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,позави́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позави́довав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,позави́довавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,позави́дую
2nd Sing,позави́дуешь
3rd Sing,позави́дует
1st Pl,позави́дуем
2nd Pl,позави́дуете
3rd Pl,позави́дуют
Past M,позави́довал
Past F,позави́довала
Past N,позави́довало
Past PL,позави́довали
Imp S,позави́дуй
Imp PL,позави́дуйте
