Infinitive,подцепи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подцепи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подце́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подцепи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подцепи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подцеплю́
2nd Sing,подце́пишь
3rd Sing,подце́пит
1st Pl,подце́пим
2nd Pl,подце́пите
3rd Pl,подце́пят
Past M,подцепи́л
Past F,подцепи́ла
Past N,подцепи́ло
Past PL,подцепи́ли
Imp S,подцепи́
Imp PL,подцепи́те
