Infinitive,посети́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посети́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посещённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посети́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посети́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посещу́
2nd Sing,посети́шь
3rd Sing,посети́т
1st Pl,посети́м
2nd Pl,посети́те
3rd Pl,посетя́т
Past M,посети́л
Past F,посети́ла
Past N,посети́ло
Past PL,посети́ли
Imp S,посети́
Imp PL,посети́те
