Infinitive,почита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,почита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,почита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,почита́ю
2nd Sing,почита́ешь
3rd Sing,почита́ет
1st Pl,почита́ем
2nd Pl,почита́ете
3rd Pl,почита́ют
Past M,почита́л
Past F,почита́ла
Past N,почита́ло
Past PL,почита́ли
Imp S,почита́й
Imp PL,почита́йте
