Infinitive,пога́снуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пога́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,пога́снувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пога́снув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пога́сши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пога́сну
2nd Sing,пога́снешь
3rd Sing,пога́снет
1st Pl,пога́снем
2nd Pl,пога́снете
3rd Pl,пога́снут
Past M,пога́с
Past F,пога́сла
Past N,пога́сло
Past PL,пога́сли
Imp S,пога́сни
Imp PL,пога́сните
