Infinitive,пошага́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пошага́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пошага́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пошага́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пошага́ю
2nd Sing,пошага́ешь
3rd Sing,пошага́ет
1st Pl,пошага́ем
2nd Pl,пошага́ете
3rd Pl,пошага́ют
Past M,пошага́л
Past F,пошага́ла
Past N,пошага́ло
Past PL,пошага́ли
Imp S,пошага́й
Imp PL,пошага́йте
