Infinitive,погиба́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погиба́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,погиба́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,погиба́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,погиба́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,погиба́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,погиба́ю
2nd Sing,погиба́ешь
3rd Sing,погиба́ет
1st Pl,погиба́ем
2nd Pl,погиба́ете
3rd Pl,погиба́ют
Past M,погиба́л
Past F,погиба́ла
Past N,погиба́ло
Past PL,погиба́ли
Imp S,погиба́й
Imp PL,погиба́йте
