Infinitive,пое́сть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пое́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пое́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пое́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пое́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пое́м
2nd Sing,пое́шь
3rd Sing,пое́ст
1st Pl,поеди́м
2nd Pl,поеди́те
3rd Pl,поедя́т
Past M,пое́л
Past F,пое́ла
Past N,пое́ло
Past PL,пое́ли
Imp S,пое́шь
Imp PL,пое́шьте
