Infinitive,поигра́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поигра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пои́гранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поигра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поигра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поигра́ю
2nd Sing,поигра́ешь
3rd Sing,поигра́ет
1st Pl,поигра́ем
2nd Pl,поигра́ете
3rd Pl,поигра́ют
Past M,поигра́л
Past F,поигра́ла
Past N,поигра́ло
Past PL,поигра́ли
Imp S,поигра́й
Imp PL,поигра́йте
