Infinitive,погуля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погуля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погуля́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,погуля́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,погуля́ю
2nd Sing,погуля́ешь
3rd Sing,погуля́ет
1st Pl,погуля́ем
2nd Pl,погуля́ете
3rd Pl,погуля́ют
Past M,погуля́л
Past F,погуля́ла
Past N,погуля́ло
Past PL,погуля́ли
Imp S,погуля́й
Imp PL,погуля́йте
