Infinitive,поприве́тствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поприве́тствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поприве́тствованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поприве́тствовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поприве́тствовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поприве́тствую
2nd Sing,поприве́тствуешь
3rd Sing,поприве́тствует
1st Pl,поприве́тствуем
2nd Pl,поприве́тствуете
3rd Pl,поприве́тствуют
Past M,поприве́тствовал
Past F,поприве́тствовала
Past N,поприве́тствовало
Past PL,поприве́тствовали
Imp S,поприве́тствуй
Imp PL,поприве́тствуйте
