Infinitive,подмы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подмы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подмы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подмы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подмы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подмо́ю
2nd Sing,подмо́ешь
3rd Sing,подмо́ет
1st Pl,подмо́ем
2nd Pl,подмо́ете
3rd Pl,подмо́ют
Past M,подмы́л
Past F,подмы́ла
Past N,подмы́ло
Past PL,подмы́ли
Imp S,подмо́й
Imp PL,подмо́йте
