Infinitive,пошути́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пошути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пошути́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пошути́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пошучу́
2nd Sing,пошу́тишь
3rd Sing,пошу́тит
1st Pl,пошу́тим
2nd Pl,пошу́тите
3rd Pl,пошу́тят
Past M,пошути́л
Past F,пошути́ла
Past N,пошути́ло
Past PL,пошути́ли
Imp S,пошути́
Imp PL,пошути́те
