Infinitive,подстро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подстро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подстро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подстро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подстро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подстро́ю
2nd Sing,подстро́ишь
3rd Sing,подстро́ит
1st Pl,подстро́им
2nd Pl,подстро́ите
3rd Pl,подстро́ят
Past M,подстро́ил
Past F,подстро́ила
Past N,подстро́ило
Past PL,подстро́или
Imp S,подстро́й
Imp PL,подстро́йте
